ID,Month,Sex,Head.L,Head.W,Neck.G,Length,Chest.G,Weight,Obs.No,Name
572,11,1,11.5,6,16.5,48,31,79,1,Pasquale
574,5,1,11.5,5,17,50.5,28,90,2,Quinn
576,11,1,12,6.5,19,50,38,148,1,Rich
579,10,1,15.5,7,28,76.5,55,446,1,Ian
581,11,2,9,5,15,46,27,62,1,Suzie
583,11,2,14.5,7,23,61.5,44,236,1,Thelma
585,11,1,13.5,8.5,23,63.5,44,212,1,U-Sam
578,4,1,18.5,8.5,23.5,67.5,42,204,1,Bill
578,5,1,15,7,26,65,40,224,2,Bill
589,4,1,10,4,15.5,48,26,60,1,Wille
590,4,1,10,5,15,41,26,64,1,XRay
592,4,2,13,7,21,59,34,146,1,Vanessa
592,4,2,15.5,6,20.5,60,35,152,2,Vanessa
596,4,1,15.5,9,29,79,50,400,1,Zack
598,4,1,13.5,7,24.5,62,41,248,1,Albert
598,10,1,14.5,6.5,26,70.5,41,278,2,Albert
598,11,1,15,7,26.5,69,46.5,297,3,Albert
301,8,1,16,9,31.5,75,47,350,1,Mary
601,5,1,11.5,5,17,53,30.5,114,1,Quin
606,5,2,11.5,5,15,52.5,28,76,1,Denise
609,5,2,11,4.5,13,46,23,48,1,Evelyn
611,5,2,12,6,19,57,34.5,148,1,Fran
615,5,2,13.5,5,17,58,29,114,1,Gert
617,6,2,13.5,5,17,58,29.5,116,1,Michele
617,8,2,12.5,7.5,19,60,34,158,2,Michele
619,6,1,14,6.5,21,63,35,198,1,Villager
621,6,2,12,5,19,58.5,33.5,114,1,Sally
623,6,2,13,6,17.5,61,33,135,1,Mary
623,8,2,13.5,5,17,58,29,130,2,Mary
626,8,1,12.5,6.5,18,60,30,130,2,Francis
626,11,1,13.5,6.5,22,64,36,190,3,Francis
628,7,1,14.5,6.5,21.5,64,37,180,1,Sonny
630,7,1,12,6.5,18.5,55.5,27.5,110,1,Davy
630,9,1,13,6,19.5,61.5,31,140,2,Davy
630,9,1,13.5,6,20,63.5,33,144,3,Davy
630,10,1,13.5,6,20,64,35,160,4,Davy
630,11,1,13.5,6.5,22,66.5,35,184,5,Davy
632,7,2,11,5,15.5,48.5,25.5,79,1,Patty
634,8,1,14.5,6,22.5,67,40,216,1,Friday
636,8,1,15,8,26.5,71,42.5,302,1,Swartz
638,8,2,12,6,19,53.5,32,122,1,Ann
640,8,1,17,9,29.5,70,45.5,322,1,Tiffy
640,8,1,15.5,8,27,70,47,308,2,Tiffy
642,8,1,15.5,8,20,63,33,154,1,Ralph
644,8,1,12,6,18,66.5,34,146,1,Bronson
644,9,1,13,5.5,19.5,64,35,162,2,Bronson
646,8,1,17.5,8,30,83,49,396,1,Eddie
648,8,1,13,5,18,55.5,30.5,122,1,Ozz
648,9,1,13,5.5,19.5,55,32.5,126,2,Ozz
648,10,1,13,6,20.5,57,34,146,3,Ozz
650,8,2,13,5.5,19.5,61.5,37,156,1,Margie
652,8,2,12.5,6,19.5,58.5,32,142,1,Pam
655,8,2,10,4.5,10,43.5,24,29,1,Addy
657,8,1,16.5,8.5,29.5,69,49.5,348,1,Curt
659,9,1,17,8.5,30.5,79.5,48.5,368,1,Kermit
661,9,1,12,5.5,18,54.5,32,116,1,Paul
661,9,1,13,6,19,59,34,130,3,Paul
663,9,2,14,7,21,66.5,37,160,1,Frieda
665,9,1,13,6.5,20.5,60,36.5,154,1,Chet
670,10,1,16,7.5,28,73,45,316,1,Brander
673,10,2,13.5,5.5,19.5,61,35,158,1,Louise
675,11,2,12.5,5.5,19,56,32,120,1,Nan
677,11,1,15.5,8,30.5,75,54,514,1,Ian
679,11,1,15.5,7.5,25.5,73.5,43,324,1,Larry
681,11,1,14.5,7,22,67.5,38,196,1,Scott
683,6,1,12.5,8.5,18,57.3,32.8,140,1,Grizz
909,8,2,12,5,18,56,32.5,114,1,Sara
911,8,1,12,5.5,15,51,24,82,1,Lou
907,8,2,13,6,22,61,40,230,1,Molly
555,7,1,15.5,6,23,69,42.5,290,4,Gary
555,7,1,15.5,6,23,69,42.5,289,5,Gary
692,7,1,12,4,17.5,59,28.5,128,1,Graham
694,7,1,13.5,6,20,62,32.5,156,1,Jeffrey
657,8,1,16.5,6.5,30,72,49,398,2,Curt
