,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
2345,2346,102.0,3.0,China,25000000.0,,5154,29.0,29.0,314,10.0,483.0,472.0,60.0,1113,6.2,Good
2255,2256,99.0,1.0,Hong Kong,20000000.0,17104669.0,99353,354.0,377.0,0,0.0,264.0,62.0,59.0,537,7.8,Good
4839,4840,109.0,0.0,USA,200000.0,5199.0,720,23.0,13.0,30,3.0,54.0,53.0,25.0,185,6.6,Good
433,434,162.0,0.0,USA,65000000.0,33048353.0,301279,589.0,377.0,12000,21000.0,21000.0,15000.0,495.0,36928,7.7,Good
4941,4942,93.0,1.0,USA,18000000.0,,14193,106.0,130.0,0,261.0,783.0,782.0,697.0,3700,6.1,Good
2098,2099,110.0,2.0,USA,40000000.0,5773519.0,28621,91.0,159.0,11000,118.0,11000.0,1000.0,287.0,12876,6.0,Fair
1810,1811,82.0,0.0,USA,27000000.0,31768374.0,42761,366.0,152.0,2000,49.0,1000.0,888.0,429.0,3313,5.6,Fair
1346,1347,88.0,0.0,China,40000000.0,,2169,18.0,4.0,0,0.0,76.0,47.0,46.0,196,6.4,Good
533,534,125.0,6.0,USA,75000000.0,117698894.0,447979,629.0,384.0,105000,255.0,11000.0,988.0,963.0,13312,7.3,Good
4371,4372,87.0,0.0,USA,,,13,,,8,9.0,467.0,258.0,165.0,1270,8.7,Excellent
3534,3535,102.0,2.0,Canada,7000000.0,,197845,876.0,100.0,16000,78.0,12000.0,333.0,184.0,12680,7.9,Good
1741,1742,99.0,1.0,USA,29000000.0,63034755.0,16984,96.0,154.0,0,265.0,22000.0,779.0,265.0,23562,5.3,Fair
2047,2048,88.0,4.0,USA,23600000.0,75590286.0,386217,553.0,445.0,26000,181.0,15000.0,13000.0,11.0,28011,7.7,Good
3305,3306,103.0,3.0,USA,9000000.0,1530535.0,7833,63.0,100.0,215,38.0,745.0,591.0,316.0,1721,5.7,Fair
2766,2767,101.0,0.0,USA,15000000.0,,1554,20.0,22.0,0,34.0,892.0,355.0,277.0,2055,5.7,Fair
3263,3264,127.0,1.0,France,8900000.0,225377.0,70382,190.0,447.0,33000,0.0,678.0,432.0,319.0,1557,7.9,Good
4748,4749,97.0,0.0,Switzerland,500000.0,,3013,24.0,10.0,344,32.0,11000.0,422.0,329.0,11839,5.8,Fair
2510,2511,89.0,2.0,USA,4000000.0,15655665.0,9104,112.0,37.0,110,0.0,690.0,400.0,323.0,2135,3.1,Bad
2677,2678,108.0,2.0,USA,15000000.0,24984868.0,50056,152.0,172.0,0,79.0,775.0,614.0,537.0,3033,6.3,Good
1407,1408,109.0,0.0,USA,35000000.0,124732962.0,286178,631.0,208.0,0,64.0,11000.0,11000.0,505.0,23923,6.8,Good
4658,4659,123.0,2.0,Iran,500000.0,7098492.0,151812,264.0,354.0,48000,0.0,786.0,712.0,620.0,2501,8.4,Excellent
3765,3766,145.0,1.0,Italy,5000000.0,,216005,565.0,164.0,10000,0.0,973.0,423.0,392.0,2589,8.6,Excellent
2944,2945,123.0,0.0,USA,12000000.0,25776062.0,61651,271.0,128.0,0,278.0,4000.0,1000.0,898.0,7072,7.4,Good
1311,1312,93.0,0.0,UK,40000000.0,4835968.0,4821,82.0,53.0,158,18.0,3000.0,545.0,443.0,4123,4.5,Fair
